,Latitude,Longitude,Time [min]
0,52.76449158055332,4.455981818613883,
1,52.87410787577146,4.461094579079636,
2,52.483100367455116,4.349686322721678,
3,51.96252010337918,4.516442858199915,105.73333333333333
4,52.29089731189696,5.37910130818557,
5,52.08687628549972,4.502182228404993,129.86666666666667
6,52.0287580566908,4.974395325236452,
7,52.222746888926544,4.950974098716434,60.0
8,52.57320501076887,4.722447698610943,
9,51.87615084088772,4.570779906932956,104.88333333333334
10,52.02515538341732,5.351362450181365,104.03333333333333
11,52.158248804395534,5.128943675315084,76.5
12,52.65342352432931,4.398830838929385,
13,51.85871517201467,4.805764246974289,108.61666666666666
14,52.048613332200574,5.374010971614302,
15,52.88979452814732,5.227220914821049,
16,51.789407718802785,5.485980303042258,126.51666666666667
17,52.90481629704853,4.541917435972235,
18,52.08981232221548,4.616872480468445,
19,52.682673401736494,4.713309399635725,103.25
20,52.757411271108964,5.2322385561672675,120.33333333333333
21,52.81111127403114,4.813814126454598,86.46666666666667
22,52.76780356468877,4.546510043400448,
23,52.895233112228574,5.470758082357999,231.43333333333334
24,52.90758370176751,5.007577786889803,
25,52.034600334385274,5.392242678527243,103.65
26,52.35435096949326,4.929071177816652,21.283333333333335
27,52.14876695193654,5.266126580853809,
28,51.92323707718701,4.552533292853602,98.13333333333334
29,52.21046627908834,5.005623562817721,71.88333333333334
30,52.239426076576876,4.790960969752096,64.31666666666666
31,51.962975969781674,4.754007699034499,90.51666666666667
32,52.855147389306005,4.329445583456379,
33,52.46672956726386,4.87431510993382,
34,52.48856695779326,4.877363200649673,
35,52.55000772502955,5.227122908703203,
36,52.300124393748916,5.4460910917537175,
37,52.110489139632556,5.300409044081699,107.8
38,52.75228258007777,4.837377819503692,114.28333333333333
39,52.18175731457829,4.517806300227948,67.98333333333333
40,52.76284878926569,5.496735101012361,
41,52.70927466919627,5.188107911561109,80.65
42,52.60433568663989,5.406080657495475,
43,51.80211653497945,4.492216743244565,147.08333333333334
44,52.53365345563729,4.307406698889769,
45,52.726161721394845,4.435701864026163,
46,52.607440274819346,5.470853164117434,
47,52.030343637553564,4.635930025690124,94.08333333333333
48,52.17696379349976,4.4066298171619716,86.7
49,52.00842144363246,4.497026831662604,107.18333333333334
50,52.68195117107857,5.486155889817369,
51,52.9602933766376,5.20817800125625,
52,52.12527097031236,4.980456498535988,99.71666666666667
53,52.04764138358927,4.334128338879079,77.85
54,52.97556012016785,5.048199883687057,
55,52.49807134728793,5.380341849668871,
56,51.91800199061183,5.438400072594605,169.46666666666667
57,52.41951274631551,4.614120202788018,51.28333333333333
58,52.27617010652489,4.539177466077894,101.58333333333333
59,52.55664766318588,4.9022477510991145,54.416666666666664
60,52.38974153848935,4.461063351611047,
61,52.587691168705746,4.614925312593712,
62,52.016926829874315,5.387816801922995,102.43333333333334
63,52.343786542911225,4.347913771054208,
64,52.918050156228546,5.283712631459023,
65,52.84343199492278,5.191316843015118,
66,51.928404898615916,4.692545755463927,113.03333333333333
67,52.17126199968998,4.975050649376248,48.38333333333333
68,52.484096157143064,5.208405527849353,
69,51.90212171226157,4.638064849257703,148.75
70,52.20804134354116,4.982424952913513,
71,52.03916933415958,4.5184346746094235,90.08333333333333
72,52.97472772311299,5.269432104015067,
73,52.16149208965314,5.294655385985573,73.93333333333334
74,52.900650063209,4.538442296466421,
75,52.90723146644898,5.397921323337474,218.68333333333334
76,51.7793106127154,5.169888309920802,170.61666666666667
77,52.253702208394216,5.422489660631144,
78,52.51884950273475,5.21297688965741,
79,52.843703279634234,4.757992873152658,128.6
